model name,max output tokens
gpt-4o,16384
gpt-4o-2024-08-06,16384
gpt-4o-2024-11-20,16384
gpt-4o-2024-08-06,16384
gpt-4o-2024-05-13,4096
chatgpt-4o-latest,16384
gpt-4o-mini,16384
gpt-4o-mini-2024-07-18,16384
gpt-4o-mini-2024-07-18,16384
o1,100000
o1-2024-12-17,100000
o1-mini,65536
o1-mini-2024-09-12,65536
o1-mini-2024-09-12,65536
o1-preview,32768
o1-preview-2024-09-12,32768
o1-preview-2024-09-12,32768
gpt-4o-realtime-preview,4096
gpt-4o-realtime-preview-2024-12-17,4096
gpt-4o-realtime-preview-2024-10-01,4096
gpt-4o-mini-realtime-preview,4096
gpt-4o-mini-realtime-preview-2024-12-17,4096
gpt-4o-mini-realtime-preview-2024-12-17,4096
gpt-4o-audio-preview,16384
gpt-4o-audio-preview-2024-12-17,16384
gpt-4o-audio-preview-2024-10-01,16384
gpt-4o-mini-audio-preview,16384
gpt-4o-mini-audio-preview-2024-12-17,16384
gpt-4o-mini-audio-preview-2024-12-17,16384
gpt-4-turbo,4096
gpt-4-turbo-2024-04-09,4096
gpt-4-turbo-2024-04-09,4096
gpt-4-turbo-preview,4096
gpt-4-0125-preview,4096
gpt-4-0125-preview,4096
gpt-4-1106-preview,4096
gpt-4,8192
gpt-4-0613,8192
gpt-4-0613,8192
gpt-4-0314,8192
